Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
TankLearning,0.603,514.775,4.612,4128,nan
TankLearning,0.320,517.673,2.534,2272,5.605
TankLearning,0.598,522.999,4.647,4128,nan
TankLearning,0.314,525.842,2.486,2271,4.908
TankLearning,0.593,531.136,4.624,4128,nan
TankLearning,0.323,534.022,2.522,2272,5.671
TankLearning,0.615,539.363,4.656,4128,nan
TankLearning,0.319,542.293,2.570,2271,6.195
TankLearning,0.616,547.588,4.602,4128,nan
TankLearning,0.316,550.550,2.596,2271,5.666
TankLearning,0.610,555.876,4.637,4128,nan
TankLearning,0.313,558.737,2.507,2272,5.685
TankLearning,0.585,564.088,4.691,4128,nan
TankLearning,0.324,566.992,2.537,2272,5.398
TankLearning,0.597,572.381,4.723,4122,1.936
TankLearning,0.316,575.327,2.586,2276,6.050
TankLearning,0.603,580.767,4.758,4123,1.969
TankLearning,0.320,583.697,2.568,2276,6.273
TankLearning,0.725,589.359,4.853,4128,nan
TankLearning,0.348,592.574,2.822,2272,6.023
TankLearning,0.618,598.279,5.005,4128,nan
TankLearning,0.342,601.466,2.805,2272,5.312
TankLearning,0.642,607.370,5.187,4128,nan
TankLearning,0.329,610.528,2.781,2272,5.061
TankLearning,0.649,616.326,5.055,4128,nan
TankLearning,0.345,619.476,2.762,2272,5.602
TankLearning,0.642,625.255,5.045,4128,nan
TankLearning,0.343,628.407,2.763,2272,5.308
TankLearning,0.627,634.172,5.047,4128,nan
TankLearning,0.341,637.311,2.749,2271,5.060
TankLearning,0.639,643.092,5.049,4128,nan
TankLearning,0.337,646.236,2.779,2272,5.612
TankLearning,0.631,651.989,5.042,4128,nan
TankLearning,0.339,655.149,2.771,2271,5.847
TankLearning,0.624,660.927,5.065,4128,nan
TankLearning,0.327,664.072,2.776,2272,6.490
TankLearning,0.624,669.836,5.053,4128,nan
TankLearning,0.339,673.029,2.804,2271,5.521
TankLearning,0.635,678.791,5.038,4128,nan
TankLearning,0.329,681.930,2.763,2272,6.159
TankLearning,0.625,687.736,5.100,4128,nan
TankLearning,0.333,691.041,2.929,2271,5.425
TankLearning,0.624,696.588,4.846,4128,nan
TankLearning,0.335,699.827,2.856,2272,5.359
TankLearning,0.624,705.328,4.801,4128,nan
TankLearning,0.326,708.572,2.870,2272,5.289
TankLearning,0.581,714.055,4.817,4004,-2.418
TankLearning,0.352,717.356,2.901,2395,5.320
TankLearning,0.583,722.770,4.755,4128,nan
TankLearning,0.306,725.948,2.835,2272,5.194
TankLearning,0.585,731.384,4.758,4128,nan
TankLearning,0.322,734.557,2.825,2272,5.922
TankLearning,0.588,739.978,4.760,4128,nan
TankLearning,0.313,743.358,3.019,2271,5.139
TankLearning,0.591,748.768,4.741,4128,nan
TankLearning,0.315,751.950,2.818,2272,5.784
TankLearning,0.586,757.369,4.757,4128,nan
TankLearning,0.317,760.615,2.889,2272,5.082
TankLearning,0.589,766.025,4.737,4128,nan
TankLearning,0.312,769.258,2.882,2272,5.187
TankLearning,0.596,774.722,4.792,4128,nan
TankLearning,0.326,777.940,2.853,2272,5.438
TankLearning,0.606,783.423,4.805,4128,nan
TankLearning,0.322,786.704,2.914,2271,5.252
TankLearning,0.586,792.193,4.822,4128,nan
TankLearning,0.314,795.463,2.918,2271,5.562
TankLearning,0.588,800.973,4.839,4128,nan
TankLearning,0.312,804.243,2.911,2271,5.420
TankLearning,0.589,809.734,4.827,4128,nan
TankLearning,0.313,813.040,2.950,2271,5.547
TankLearning,0.595,818.585,4.862,4128,nan
TankLearning,0.315,821.857,2.935,2272,6.094
TankLearning,0.599,827.473,4.949,4128,nan
TankLearning,0.319,830.728,2.892,2272,5.613
TankLearning,0.595,836.268,4.874,4128,nan
TankLearning,0.314,839.589,2.963,2271,6.272
TankLearning,0.591,845.148,4.889,4128,nan
TankLearning,0.330,848.443,2.917,2272,6.020
TankLearning,0.593,854.386,5.272,4128,nan
TankLearning,0.322,857.692,2.940,2272,5.306
TankLearning,0.589,863.238,4.877,4128,nan
TankLearning,0.310,866.488,2.898,2272,5.865
TankLearning,0.588,872.046,4.886,4128,nan
TankLearning,0.331,875.408,2.988,2272,5.388
TankLearning,0.589,881.098,5.023,4128,nan
TankLearning,0.314,884.252,2.795,2272,4.995
TankLearning,0.596,890.043,5.122,4128,nan
TankLearning,0.318,893.186,2.783,2272,6.235
