Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
TankLearning,0.813,526.785,4.696,4128,nan
TankLearning,0.433,529.855,2.598,2272,5.649
TankLearning,0.809,535.420,4.700,4128,nan
TankLearning,0.440,538.540,2.649,2271,5.465
TankLearning,0.822,544.175,4.744,4128,nan
TankLearning,0.445,547.236,2.587,2272,5.907
TankLearning,0.839,552.888,4.754,4128,nan
TankLearning,0.448,555.983,2.612,2272,6.123
TankLearning,0.829,561.672,4.794,4128,nan
TankLearning,0.439,564.758,2.611,2272,6.412
TankLearning,0.820,570.410,4.770,4128,nan
TankLearning,0.455,573.521,2.630,2272,6.102
TankLearning,0.823,579.207,4.799,4128,nan
TankLearning,0.446,582.313,2.621,2272,5.419
TankLearning,0.828,588.021,4.830,4128,nan
TankLearning,0.448,591.188,2.690,2271,5.426
TankLearning,0.830,596.915,4.829,4128,nan
TankLearning,0.445,600.053,2.660,2271,5.821
TankLearning,0.833,605.752,4.808,4128,nan
TankLearning,0.442,608.871,2.645,2272,6.185
TankLearning,0.817,614.649,4.903,4128,nan
TankLearning,0.448,617.743,2.617,2272,6.330
TankLearning,0.829,623.519,4.884,4128,nan
TankLearning,0.454,626.626,2.624,2272,6.227
TankLearning,0.827,632.409,4.897,4128,nan
TankLearning,0.440,635.533,2.653,2272,6.612
TankLearning,0.833,641.356,4.921,4128,nan
TankLearning,0.449,644.490,2.649,2272,5.844
TankLearning,0.824,650.277,4.907,4128,nan
TankLearning,0.447,653.457,2.705,2272,5.278
TankLearning,0.826,659.252,4.887,4128,nan
TankLearning,0.444,662.412,2.698,2272,5.976
TankLearning,0.829,668.231,4.935,4128,nan
TankLearning,0.449,671.376,2.664,2272,6.063
TankLearning,0.835,677.251,4.981,4128,nan
TankLearning,0.439,680.459,2.733,2271,5.432
TankLearning,0.832,686.279,4.927,4128,nan
TankLearning,0.444,689.459,2.708,2271,5.579
TankLearning,0.826,695.308,4.956,4128,nan
TankLearning,0.450,698.493,2.695,2272,5.965
TankLearning,0.832,704.429,5.053,4128,nan
TankLearning,0.445,707.766,2.863,2271,5.498
TankLearning,0.822,713.454,4.818,4128,nan
TankLearning,0.440,716.832,2.900,2270,4.744
TankLearning,0.828,722.548,4.829,4128,nan
TankLearning,0.444,725.882,2.852,2272,6.002
TankLearning,0.825,731.608,4.833,4128,nan
TankLearning,0.441,734.942,2.865,2272,5.825
TankLearning,0.825,740.641,4.813,4128,nan
TankLearning,0.450,744.047,2.918,2271,5.556
TankLearning,0.818,749.775,4.849,4128,nan
TankLearning,0.443,753.134,2.892,2272,6.141
TankLearning,0.818,758.869,4.854,4128,nan
TankLearning,0.442,762.239,2.894,2272,6.220
TankLearning,0.823,767.983,4.862,4128,nan
TankLearning,0.432,771.372,2.930,2272,6.202
TankLearning,0.823,777.134,4.875,4128,nan
TankLearning,0.449,780.490,2.865,2272,6.114
TankLearning,0.813,786.283,4.913,4128,nan
TankLearning,0.447,789.665,2.893,2272,6.276
TankLearning,0.818,795.406,4.881,4128,nan
TankLearning,0.440,798.780,2.904,2272,6.280
TankLearning,0.825,804.563,4.892,4128,nan
TankLearning,0.449,808.044,2.999,2269,5.987
TankLearning,0.832,813.842,4.909,4128,nan
TankLearning,0.444,817.231,2.906,2272,6.333
TankLearning,0.824,823.034,4.923,4128,nan
TankLearning,0.446,826.437,2.928,2272,7.093
TankLearning,0.832,832.255,4.920,4128,nan
TankLearning,0.436,835.705,2.983,2270,5.376
TankLearning,0.821,841.544,4.948,4128,nan
TankLearning,0.446,844.927,2.910,2272,6.927
TankLearning,0.828,850.791,4.976,4128,nan
TankLearning,0.446,854.251,2.984,2272,6.039
TankLearning,0.845,860.134,4.985,4128,nan
TankLearning,0.446,863.548,2.936,2272,6.693
TankLearning,0.822,869.424,4.997,4128,nan
TankLearning,0.449,872.906,3.002,2272,6.388
TankLearning,0.833,878.769,4.968,4128,nan
TankLearning,0.442,882.239,2.995,2271,5.692
TankLearning,0.816,888.168,5.049,4128,nan
TankLearning,0.442,891.601,2.956,2272,6.463
TankLearning,0.825,897.528,5.043,4128,nan
TankLearning,0.441,901.093,3.094,2272,6.519
TankLearning,0.826,907.123,5.142,4128,nan
TankLearning,0.447,910.451,2.840,2272,6.496
TankLearning,0.816,916.552,5.233,4112,2.248
TankLearning,0.434,919.849,2.834,2287,5.899
TankLearning,0.824,926.140,5.406,4128,nan
TankLearning,0.437,929.438,2.828,2272,6.601
TankLearning,0.816,935.478,5.149,4128,nan
TankLearning,0.433,938.802,2.860,2271,5.611
TankLearning,0.817,944.850,5.174,4128,nan
TankLearning,0.439,948.178,2.853,2272,6.461
TankLearning,0.825,954.329,5.259,4128,nan
TankLearning,0.443,957.705,2.902,2271,6.036
TankLearning,0.816,964.081,5.504,4128,nan
TankLearning,0.436,967.384,2.834,2272,7.001
TankLearning,0.814,973.505,5.250,4128,nan
TankLearning,0.436,976.791,2.809,2272,6.235
TankLearning,0.821,982.909,5.227,4128,nan
TankLearning,0.444,986.254,2.870,2272,6.489
TankLearning,0.821,992.400,5.266,4128,nan
TankLearning,0.436,995.725,2.855,2272,6.529
TankLearning,0.825,1001.847,5.240,4128,nan
TankLearning,0.436,1005.168,2.846,2272,6.413
TankLearning,0.825,1011.376,5.312,4128,nan
TankLearning,0.449,1014.692,2.833,2272,7.682
TankLearning,0.819,1020.882,5.313,4128,nan
TankLearning,0.438,1024.246,2.889,2272,6.730
TankLearning,0.823,1030.823,5.675,4128,nan
TankLearning,0.439,1034.145,2.858,2272,7.110
TankLearning,0.813,1040.324,5.313,4128,nan
TankLearning,0.439,1043.694,2.893,2272,7.125
TankLearning,0.819,1050.246,5.675,4128,nan
TankLearning,0.441,1053.646,2.926,2272,6.584
TankLearning,0.839,1060.042,5.500,4128,nan
TankLearning,0.459,1063.578,3.038,2272,7.199
TankLearning,0.819,1070.422,5.951,4128,nan
TankLearning,0.439,1073.835,2.937,2271,6.688
TankLearning,0.819,1080.083,5.373,4128,nan
TankLearning,0.444,1083.429,2.868,2272,7.461
TankLearning,0.820,1089.687,5.375,4128,nan
TankLearning,0.445,1093.073,2.907,2272,6.764
TankLearning,0.828,1099.386,5.431,4128,0.276
TankLearning,0.443,1102.752,2.894,2271,7.189
TankLearning,0.815,1109.044,5.412,4128,nan
TankLearning,0.443,1112.378,2.859,2272,7.291
TankLearning,0.859,1118.709,5.412,4128,nan
TankLearning,0.436,1122.047,2.874,2272,7.550
TankLearning,0.806,1128.345,5.420,4128,nan
TankLearning,0.438,1131.783,2.976,2271,6.682
TankLearning,0.813,1138.118,5.455,4128,nan
TankLearning,0.438,1141.580,2.994,2271,6.814
TankLearning,0.819,1147.917,5.452,4128,nan
TankLearning,0.445,1151.326,2.933,2271,6.319
TankLearning,0.828,1157.725,5.506,4128,nan
TankLearning,0.439,1161.124,2.938,2272,6.780
TankLearning,0.823,1167.501,5.485,4128,nan
TankLearning,0.439,1170.915,2.939,2272,7.362
TankLearning,0.826,1177.319,5.523,4128,nan
TankLearning,0.442,1180.747,2.951,2271,6.695
TankLearning,0.821,1187.364,5.735,4128,nan
TankLearning,0.441,1190.810,2.972,2272,7.304
TankLearning,0.826,1197.237,5.543,4128,nan
TankLearning,0.440,1200.681,2.972,2271,7.043
TankLearning,0.819,1207.077,5.512,4128,nan
TankLearning,0.445,1210.524,2.960,2272,7.114
TankLearning,0.818,1216.948,5.543,4128,nan
TankLearning,0.437,1220.388,2.970,2272,6.918
TankLearning,0.823,1226.818,5.534,4128,nan
TankLearning,0.438,1230.203,2.929,2272,7.806
TankLearning,0.816,1237.435,6.343,4128,nan
TankLearning,0.434,1240.848,2.946,2272,6.635
TankLearning,0.823,1247.315,5.591,4128,nan
TankLearning,0.439,1250.726,2.936,2272,6.384
TankLearning,0.811,1257.179,5.577,4128,nan
TankLearning,0.441,1260.593,2.945,2272,7.636
TankLearning,0.821,1267.109,5.634,4128,nan
TankLearning,0.447,1270.532,2.947,2272,7.302
TankLearning,0.825,1277.017,5.592,4128,nan
TankLearning,0.434,1280.461,2.976,2271,6.776
TankLearning,0.822,1286.970,5.629,4128,nan
TankLearning,0.439,1290.427,2.988,2272,7.602
TankLearning,0.822,1296.933,5.628,4128,nan
TankLearning,0.436,1300.449,3.049,2271,6.934
TankLearning,0.818,1306.966,5.643,4128,nan
TankLearning,0.446,1310.396,2.948,2272,7.704
TankLearning,0.820,1316.905,5.614,4128,nan
TankLearning,0.441,1320.327,2.948,2272,7.108
TankLearning,0.816,1326.925,5.720,4128,nan
TankLearning,0.439,1330.390,3.011,2272,8.253
TankLearning,0.817,1336.977,5.720,4128,nan
TankLearning,0.438,1340.590,3.142,2271,6.978
TankLearning,0.817,1347.205,5.746,4128,nan
TankLearning,0.438,1350.714,3.043,2271,7.539
TankLearning,0.813,1357.286,5.691,4128,nan
TankLearning,0.443,1360.737,2.976,2272,7.457
TankLearning,0.826,1367.384,5.767,4128,nan
TankLearning,0.428,1370.969,3.123,2272,7.003
TankLearning,0.801,1377.615,5.780,4086,0.315
TankLearning,0.460,1381.134,3.032,2313,7.232
TankLearning,0.829,1388.781,6.753,4119,0.255
TankLearning,0.447,1392.274,3.010,2280,7.651
TankLearning,0.827,1398.885,5.741,4128,nan
TankLearning,0.435,1402.348,3.001,2272,7.509
TankLearning,0.818,1408.952,5.722,4128,nan
