Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
TankLearning,0.280,8775.750,333.835,3056,-0.007
TankLearning,0.213,8998.225,222.177,2288,-0.050
TankLearning,0.192,9212.807,214.310,2160,-0.146
TankLearning,0.192,9419.035,205.968,2080,nan
TankLearning,0.190,9636.182,216.881,2160,-0.200
TankLearning,0.199,9859.636,223.173,2160,-0.200
TankLearning,0.196,10075.831,215.924,2080,nan
TankLearning,0.196,10305.600,229.497,2160,-0.127
TankLearning,0.196,10534.459,228.593,2160,-0.101
TankLearning,0.189,10754.787,220.066,2080,nan
TankLearning,0.192,10989.341,234.277,2160,-0.012
TankLearning,0.192,11231.716,242.094,2160,-0.077
TankLearning,0.188,11461.517,229.534,2080,nan
TankLearning,0.193,11707.139,245.335,2160,-0.061
TankLearning,0.200,11946.064,238.641,2160,-0.121
TankLearning,0.191,12186.482,240.154,2080,nan
TankLearning,0.280,12571.111,384.212,3024,-0.032
