Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
TankLearning,0.978,6.431,3.740,4128,nan
TankLearning,0.306,9.258,2.494,2272,0.201
TankLearning,0.609,14.060,4.115,4128,nan
TankLearning,0.314,16.972,2.559,2272,0.373
TankLearning,0.613,21.739,4.073,4128,nan
TankLearning,0.306,24.714,2.631,2272,0.633
TankLearning,0.578,29.466,4.102,4128,nan
TankLearning,0.309,32.357,2.545,2272,1.487
TankLearning,0.662,37.239,4.147,4128,nan
TankLearning,0.329,40.446,2.831,2272,2.360
TankLearning,0.588,45.385,4.277,4128,nan
TankLearning,0.305,48.236,2.515,2272,2.603
TankLearning,0.578,53.031,4.153,4128,nan
TankLearning,0.305,55.877,2.493,2272,3.570
TankLearning,0.582,60.685,4.157,4128,nan
TankLearning,0.308,63.523,2.491,2272,5.031
TankLearning,0.594,68.354,4.158,4128,nan
TankLearning,0.303,71.232,2.530,2272,5.459
TankLearning,0.586,76.057,4.160,4128,nan
TankLearning,0.317,78.958,2.531,2272,5.942
TankLearning,0.590,83.818,4.189,4128,nan
TankLearning,0.308,86.682,2.526,2272,5.732
TankLearning,0.585,91.541,4.199,4128,nan
TankLearning,0.304,94.395,2.507,2272,6.842
TankLearning,0.582,99.283,4.238,4128,nan
TankLearning,0.306,102.132,2.503,2272,7.511
TankLearning,0.588,106.988,4.191,4128,nan
TankLearning,0.306,109.866,2.528,2272,7.078
TankLearning,0.600,114.734,4.184,4128,nan
TankLearning,0.303,117.606,2.532,2272,6.806
TankLearning,0.608,122.495,4.205,4128,nan
TankLearning,0.305,125.357,2.520,2272,7.090
TankLearning,0.591,130.266,4.241,4128,nan
TankLearning,0.308,133.152,2.534,2272,7.424
TankLearning,0.608,138.073,4.239,4128,nan
TankLearning,0.304,140.971,2.554,2272,7.128
TankLearning,0.573,145.821,4.202,4128,nan
TankLearning,0.307,148.711,2.542,2272,7.500
TankLearning,0.571,153.601,4.238,4128,nan
TankLearning,0.306,156.496,2.549,2272,7.486
TankLearning,0.568,161.385,4.250,4128,nan
TankLearning,0.304,164.290,2.562,2272,7.267
TankLearning,0.575,169.217,4.271,4128,nan
TankLearning,0.306,172.103,2.537,2272,7.606
TankLearning,0.600,177.096,4.317,4128,nan
TankLearning,0.309,179.968,2.518,2272,7.589
TankLearning,0.584,184.982,4.362,4128,nan
TankLearning,0.304,187.837,2.504,2272,7.743
TankLearning,0.577,192.843,4.359,4128,nan
TankLearning,0.305,195.678,2.484,2272,7.296
TankLearning,0.574,200.667,4.335,4128,nan
TankLearning,0.309,203.482,2.474,2272,7.385
TankLearning,0.566,208.492,4.374,4128,nan
TankLearning,0.306,211.330,2.491,2272,7.832
TankLearning,0.577,216.347,4.367,4128,nan
TankLearning,0.305,219.185,2.497,2272,7.633
TankLearning,0.571,224.204,4.377,4128,nan
TankLearning,0.310,227.016,2.462,2272,7.575
TankLearning,0.576,232.059,4.386,4128,nan
TankLearning,0.305,234.867,2.458,2272,7.607
TankLearning,0.576,239.955,4.439,4128,nan
TankLearning,0.304,242.760,2.460,2272,7.551
TankLearning,0.572,247.812,4.406,4128,nan
TankLearning,0.306,250.639,2.476,2272,7.530
TankLearning,0.574,255.713,4.424,4128,nan
TankLearning,0.307,258.538,2.477,2272,7.740
TankLearning,0.575,263.624,4.436,4128,nan
TankLearning,0.306,266.442,2.472,2272,7.673
TankLearning,0.572,271.549,4.463,4128,nan
TankLearning,0.306,274.379,2.484,2272,7.568
TankLearning,0.601,279.516,4.465,4128,nan
TankLearning,0.304,282.333,2.474,2272,7.559
