Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
TankLearning,0.346,4839.590,113.754,2067,-1.001
TankLearning,0.358,4919.180,79.182,2161,-0.248
TankLearning,0.352,5019.483,99.899,2148,-0.278
TankLearning,0.358,5156.708,136.775,2104,-0.873
TankLearning,0.360,5231.849,74.733,2126,-0.016
TankLearning,0.355,5337.442,105.171,2153,-0.173
TankLearning,0.364,5477.099,139.209,2095,-1.323
TankLearning,0.355,5553.645,76.143,2137,0.041
TankLearning,0.351,5664.402,110.343,2154,-0.390
TankLearning,0.363,5782.762,117.935,2064,-1.196
TankLearning,0.354,5894.346,111.162,2164,0.027
TankLearning,0.363,6016.904,122.115,2155,-0.108
